	"rsem_out/AK-1_S27.R1.cutadapt.genes.results"	"rsem_out/AK-23_S1.R1.cutadapt.genes.results"	"rsem_out/AK-24_S2.R1.cutadapt.genes.results"	"rsem_out/AK-25_S3.R1.cutadapt.genes.results"	"rsem_out/AK-26_S4.R1.cutadapt.genes.results"	"rsem_out/AK-27_S5.R1.cutadapt.genes.results"	"rsem_out/AK-28_S6.R1.cutadapt.genes.results"	"rsem_out/AK-29_S7.R1.cutadapt.genes.results"	"rsem_out/AK-2_S28.R1.cutadapt.genes.results"	"rsem_out/AK-30_S8.R1.cutadapt.genes.results"	"rsem_out/AK-31_S9.R1.cutadapt.genes.results"	"rsem_out/AK-32_S10.R1.cutadapt.genes.results"	"rsem_out/AK-33_S11.R1.cutadapt.genes.results"	"rsem_out/AK-34_S12.R1.cutadapt.genes.results"	"rsem_out/AK-35_S13.R1.cutadapt.genes.results"	"rsem_out/AK-36_S14.R1.cutadapt.genes.results"	"rsem_out/AK-37_S15.R1.cutadapt.genes.results"	"rsem_out/AK-38_S16.R1.cutadapt.genes.results"	"rsem_out/AK-39_S17.R1.cutadapt.genes.results"	"rsem_out/AK-40_S18.R1.cutadapt.genes.results"	"rsem_out/AK-41_S19.R1.cutadapt.genes.results"	"rsem_out/AK-42_S20.R1.cutadapt.genes.results"	"rsem_out/AK-43_S21.R1.cutadapt.genes.results"	"rsem_out/AK-44_S22.R1.cutadapt.genes.results"	"rsem_out/AK-45_S23.R1.cutadapt.genes.results"	"rsem_out/AK-46_S24.R1.cutadapt.genes.results"	"rsem_out/AK-47_S25.R1.cutadapt.genes.results"	"rsem_out/AK-48_S26.R1.cutadapt.genes.results"	"rsem_out/AK-4_S29.R1.cutadapt.genes.results"	"rsem_out/AK-5_S30.R1.cutadapt.genes.results"	"rsem_out/SHC-17_S13.R1.cutadapt.genes.results"	"rsem_out/SHC-18_S14.R1.cutadapt.genes.results"	"rsem_out/Undetermined_S0.R1.cutadapt.genes.results"
"GBI_05915"	0.00	0.00	0.00	27.61	16.79	0.00	0.00	0.00	0.00	0.00	1.25	34.12	19.57	0.00	0.00	0.00	0.00	1.40	55.50	7.02	0.00	0.00	0.00	0.00	17.94	2.72	0.00	0.00	12.51	0.00	0.00	0.00	5.48
"GBI_05916"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_05917"	2.09	0.00	177.40	114.67	29.55	0.00	1.40	7.95	0.00	0.00	0.88	94.81	52.13	0.00	0.81	0.00	0.00	1.96	125.92	18.24	0.00	0.00	1.87	1.03	117.43	22.92	0.00	0.00	23.11	0.00	0.00	2.51	25.40
"GBI_05918"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_05919"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94	0.00	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_05920"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_05921"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.21	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_05922"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_05923"	334.37	0.00	477.92	108.08	278.31	48.17	325.21	1366.02	496.80	48.83	186.93	84.53	131.07	112.76	339.85	1165.76	103.30	115.34	89.50	228.31	157.39	143.37	102.29	322.87	152.45	236.51	302.81	85.64	389.65	0.00	44.66	96.85	375.14
"GBI_05924"	61.43	0.00	49.65	15.82	15.83	4.12	11.72	6.96	19.32	50.58	12.53	14.95	16.86	10.92	13.13	5.30	138.40	14.26	17.87	13.13	29.41	12.28	145.81	9.97	17.74	11.65	20.96	9.64	24.29	0.00	67.47	8.38	37.03
