	"rsem_out/AK-1_S27.R1.cutadapt.genes.results"	"rsem_out/AK-23_S1.R1.cutadapt.genes.results"	"rsem_out/AK-24_S2.R1.cutadapt.genes.results"	"rsem_out/AK-25_S3.R1.cutadapt.genes.results"	"rsem_out/AK-26_S4.R1.cutadapt.genes.results"	"rsem_out/AK-27_S5.R1.cutadapt.genes.results"	"rsem_out/AK-28_S6.R1.cutadapt.genes.results"	"rsem_out/AK-29_S7.R1.cutadapt.genes.results"	"rsem_out/AK-2_S28.R1.cutadapt.genes.results"	"rsem_out/AK-30_S8.R1.cutadapt.genes.results"	"rsem_out/AK-31_S9.R1.cutadapt.genes.results"	"rsem_out/AK-32_S10.R1.cutadapt.genes.results"	"rsem_out/AK-33_S11.R1.cutadapt.genes.results"	"rsem_out/AK-34_S12.R1.cutadapt.genes.results"	"rsem_out/AK-35_S13.R1.cutadapt.genes.results"	"rsem_out/AK-36_S14.R1.cutadapt.genes.results"	"rsem_out/AK-37_S15.R1.cutadapt.genes.results"	"rsem_out/AK-38_S16.R1.cutadapt.genes.results"	"rsem_out/AK-39_S17.R1.cutadapt.genes.results"	"rsem_out/AK-40_S18.R1.cutadapt.genes.results"	"rsem_out/AK-41_S19.R1.cutadapt.genes.results"	"rsem_out/AK-42_S20.R1.cutadapt.genes.results"	"rsem_out/AK-43_S21.R1.cutadapt.genes.results"	"rsem_out/AK-44_S22.R1.cutadapt.genes.results"	"rsem_out/AK-45_S23.R1.cutadapt.genes.results"	"rsem_out/AK-46_S24.R1.cutadapt.genes.results"	"rsem_out/AK-47_S25.R1.cutadapt.genes.results"	"rsem_out/AK-48_S26.R1.cutadapt.genes.results"	"rsem_out/AK-4_S29.R1.cutadapt.genes.results"	"rsem_out/AK-5_S30.R1.cutadapt.genes.results"	"rsem_out/SHC-17_S13.R1.cutadapt.genes.results"	"rsem_out/SHC-18_S14.R1.cutadapt.genes.results"	"rsem_out/Undetermined_S0.R1.cutadapt.genes.results"
"GBI_15652"	0.78	0.00	0.00	4.54	2.69	0.00	0.00	0.00	0.00	2.91	0.00	4.48	2.00	0.00	0.40	0.57	0.53	0.00	5.94	0.74	0.00	0.00	0.80	0.00	3.77	2.86	0.00	0.00	4.36	0.00	0.85	0.00	1.44
"GBI_15653"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15654"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15657"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15658"	15.48	0.00	0.00	4.14	4.48	9.27	18.11	138.77	48.35	0.32	69.87	2.20	0.98	4.10	0.59	256.19	4.41	79.42	4.50	4.47	2.86	139.47	4.07	3.41	2.67	0.47	1.67	63.56	1.53	0.00	0.00	79.49	30.52
"GBI_15659"	43.00	0.00	69.19	66.91	39.65	66.96	73.83	34.25	89.03	27.28	27.74	60.96	49.24	69.22	53.41	32.57	64.99	65.60	75.54	42.38	82.56	64.15	56.17	66.24	69.66	43.57	69.90	80.90	61.37	0.00	17.02	63.67	51.47
"GBI_15660"	56.88	0.00	0.00	0.00	0.00	0.00	0.00	3.41	1.50	0.00	4.13	0.00	0.49	0.00	0.00	2.60	3.32	0.42	0.00	2.11	2.00	0.80	9.86	0.00	0.00	0.00	0.00	0.76	3.21	0.00	0.00	0.00	2.88
"GBI_15661"	0.00	0.00	0.00	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94
"GBI_15662"	0.00	0.00	0.00	9.26	18.71	1.88	7.47	0.00	13.26	0.00	20.34	9.15	11.25	0.00	0.72	0.34	0.00	17.92	14.96	21.13	0.00	16.25	0.24	51.10	8.61	16.63	0.00	4.73	7.81	0.00	0.38	5.52	8.99
"GBI_15663"	3.53	0.00	0.00	24.02	22.73	32.60	67.41	8.96	70.38	8.21	25.55	19.08	15.63	47.34	15.82	0.26	11.36	58.50	18.97	17.48	36.84	45.84	9.29	159.30	19.01	30.82	45.23	75.65	25.79	0.00	14.01	57.42	25.78
"GBI_15664"	0.00	0.00	0.00	10.95	13.05	95.53	2.95	0.00	0.92	10.26	6.48	0.90	8.47	91.35	0.85	0.40	0.37	4.14	7.42	6.25	2.47	2.47	0.00	5.45	10.63	12.11	25.18	0.00	4.62	0.00	2.69	2.45	8.10
"GBI_15665"	0.00	0.00	0.00	0.67	2.76	0.00	0.00	1.02	0.00	0.00	0.45	0.88	0.00	0.00	0.00	1.17	0.00	0.00	0.56	0.00	0.00	0.48	0.00	0.53	1.29	5.40	0.00	0.91	0.00	0.00	0.00	0.20	0.99
"GBI_15666"	0.00	0.00	0.00	24.35	21.51	0.00	0.00	5.68	49.23	0.00	8.95	41.16	31.82	0.00	0.00	13.30	0.00	115.53	26.04	29.80	0.00	36.97	0.44	39.17	8.91	27.31	0.00	43.26	6.12	0.00	0.00	2.68	19.57
"GBI_15667"	17.04	0.00	0.00	17.39	29.22	454.74	147.11	72.29	124.58	10.56	1512.58	9.80	19.46	308.87	82.80	2.80	26.45	2016.19	17.55	89.67	242.26	708.37	25.77	31.53	9.59	8.82	162.27	288.13	7.38	0.00	14.26	2328.36	223.39
"GBI_15668"	0.56	0.00	0.00	6.93	7.75	22.44	2.23	1.59	124.02	0.69	496.98	4.56	4.28	52.08	4.32	0.00	0.75	100.36	6.35	17.12	24.93	50.82	0.00	5.78	5.60	4.85	16.35	40.05	3.00	0.00	0.91	142.21	39.39
"GBI_15669"	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15670"	1.45	0.00	0.00	0.00	2.28	0.00	0.00	0.00	9.29	0.00	100.56	0.00	0.00	8.89	1.72	0.00	0.75	47.33	0.57	2.10	4.97	2.98	1.99	171.29	0.89	0.00	7.24	0.00	0.00	0.00	0.00	25.67	13.75
"GBI_15671"	7.22	0.00	0.00	9.99	4.00	115.02	0.74	1.06	181.89	0.00	384.39	2.04	4.57	77.01	0.43	0.40	8.24	448.13	5.17	40.10	89.31	163.14	8.25	799.94	7.80	1.52	47.00	54.39	1.33	0.00	0.00	458.53	83.24
"GBI_15672"	6.00	376.66	55.08	6.05	7.02	1226.54	35.09	8.02	703.03	63.95	1134.11	61.57	35.80	2366.51	24.10	0.24	36.02	870.06	69.69	58.71	1456.52	826.72	15.80	156.24	11.47	1.34	374.05	889.67	38.78	0.00	39.73	2822.58	222.93
"GBI_15673"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15674"	44.29	473.14	392.05	2.53	2.80	2.19	1.81	0.78	1.36	923.01	5.71	1.22	1.34	2.90	0.42	2.96	46.68	1.53	2.11	2.18	1.21	0.36	72.63	2.68	3.06	0.87	0.88	0.00	1.95	0.00	663.99	2.81	42.62
"GBI_15675"	60.94	129.79	37.96	28.78	22.25	35.99	38.81	27.65	54.95	24.81	35.88	21.13	17.80	35.19	31.32	79.53	41.14	40.57	23.96	27.58	73.44	56.94	51.01	31.37	29.92	26.22	49.52	87.64	22.31	0.00	30.11	65.11	39.38
"GBI_15676"	78.32	0.00	113.18	48.01	71.04	16.10	22.26	105.88	46.58	9.58	59.03	52.65	75.35	7.12	15.17	229.43	14.63	59.98	52.43	79.64	13.41	33.07	11.14	90.66	46.31	73.51	25.19	27.76	86.86	0.00	5.42	20.28	70.29
"GBI_15677"	107.92	387.29	61.63	29.53	50.86	23.38	42.98	12.63	50.93	74.25	44.48	37.19	31.63	37.39	31.75	12.77	52.28	44.95	39.01	34.66	41.76	34.00	79.60	49.50	25.11	44.06	23.26	22.82	49.00	0.00	105.04	44.07	40.17
"GBI_15678"	111.25	0.00	59.27	51.42	25.78	50.01	108.53	51.02	60.00	89.80	25.23	59.67	28.38	33.52	97.15	61.53	171.99	45.05	57.26	28.58	75.82	53.28	206.17	35.83	56.87	24.89	40.93	79.51	39.47	0.00	91.78	43.17	70.98
"GBI_15679"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15680"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15681"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15682"	1.69	0.00	0.00	1.05	0.43	0.00	0.00	0.00	0.00	0.00	0.00	1.73	1.39	0.00	0.00	0.00	2.28	0.00	3.50	0.40	0.00	0.00	2.60	0.00	3.73	0.39	0.00	0.00	0.50	0.00	0.00	0.00	0.39
"GBI_15683"	1.11	0.00	9.44	68.34	24.73	0.22	0.45	0.11	0.09	5.43	0.23	97.25	34.04	0.30	0.17	0.40	0.94	0.42	86.44	13.39	0.25	0.10	0.68	0.11	97.33	14.46	0.36	0.09	31.92	0.00	2.76	0.64	19.78
"GBI_15684"	90.27	0.00	0.00	7.83	11.06	1.49	3.96	7.50	19.83	13.32	14.00	9.09	6.92	6.31	2.87	31.17	52.74	10.77	6.93	9.10	4.97	8.28	31.33	12.84	7.74	10.09	2.57	12.65	15.95	0.00	8.44	8.77	21.76
"GBI_15685"	37.23	0.00	83.06	53.49	29.14	66.14	133.41	43.80	37.73	87.34	20.19	58.23	33.61	38.63	117.60	19.45	31.52	56.93	53.37	27.74	37.60	57.68	27.80	27.04	53.98	24.76	17.53	89.07	31.00	0.00	72.70	61.18	39.48
"GBI_15686"	80.26	0.00	0.00	55.49	58.13	19.38	42.86	114.49	67.54	25.20	94.77	41.56	51.08	5.71	34.36	186.40	61.18	80.98	48.17	77.32	46.63	69.31	58.67	95.37	49.42	68.31	22.65	78.19	47.32	0.00	16.11	50.26	66.50
"GBI_15687"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15688"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.30	0.00	0.00
"GBI_15689"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15690"	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	1.16	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15691"	0.00	0.00	0.00	1.99	0.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15692"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15693"	0.00	0.00	0.00	13.06	10.32	0.00	0.00	0.00	0.00	0.00	0.00	10.32	15.36	0.00	0.00	0.00	0.00	0.00	14.59	2.85	0.00	0.56	0.11	0.00	15.06	4.39	0.00	0.00	4.20	0.00	0.00	0.10	2.45
"GBI_15694"	0.00	0.00	0.00	2.94	0.49	0.00	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.98	0.00	0.00	0.42	0.00	0.00	0.76	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00
"GBI_15695"	49.77	0.00	38.61	20.35	10.08	15.15	11.72	7.79	7.93	29.22	5.35	28.46	15.73	42.42	20.51	0.99	26.42	7.89	25.90	11.60	13.71	3.99	24.23	11.91	24.66	17.08	8.89	4.48	14.67	0.00	11.92	6.22	16.69
"GBI_15696"	83.75	0.00	22.60	7.61	11.67	19.82	24.53	29.13	40.96	4.95	13.98	5.23	4.24	27.70	39.15	0.68	40.44	22.09	8.27	10.69	20.23	35.92	31.39	5.00	8.77	9.27	19.08	8.10	8.27	0.00	2.06	27.96	19.42
"GBI_15697"	27.78	0.00	0.00	1.23	3.05	0.00	5.30	9.42	1.66	2.46	9.13	0.00	3.26	5.30	3.07	0.00	10.00	4.64	1.02	0.93	0.00	4.43	9.64	1.96	1.59	2.71	0.00	0.00	4.75	0.00	0.00	1.10	3.64
"GBI_15698"	0.00	413.67	60.49	0.00	2.20	0.00	0.00	0.00	0.00	1275.17	0.30	0.00	0.39	0.00	0.00	2.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	536.90	2.90	38.24
"GBI_15721"	259.49	0.00	64.11	277.90	1019.63	48.83	14.62	57.11	12.95	2.34	143.21	391.75	487.79	50.38	12.86	175.52	116.86	46.38	356.14	859.27	75.96	16.20	71.33	36.56	278.70	686.49	25.83	15.00	625.54	0.00	2.92	112.79	284.93
"GBI_15722"	106.22	0.00	153.77	140.11	105.22	205.95	66.81	96.50	104.88	314.07	118.71	147.05	162.07	178.85	78.51	139.89	204.38	143.28	144.35	156.17	291.50	111.68	215.88	136.88	154.80	136.00	719.87	139.65	121.52	0.00	601.02	68.53	164.26
"GBI_15723"	339.77	599.86	0.00	18.91	24.22	25.99	123.50	107.64	111.88	20.49	27.13	17.11	15.06	46.87	120.75	241.68	229.39	45.20	19.10	44.14	267.27	43.66	212.22	45.94	26.69	22.37	129.84	83.29	52.18	0.00	29.64	32.31	97.16
"GBI_15724"	7.57	0.00	0.00	14.50	7.86	19.80	7.13	5.04	11.26	74.97	13.35	10.39	11.00	6.06	2.94	14.32	3.65	29.27	12.70	7.69	9.26	13.02	3.72	22.99	13.41	11.55	7.40	18.68	7.43	0.00	41.29	17.61	12.68
"GBI_15725"	63.47	0.00	248.63	219.85	104.85	690.56	281.62	52.47	356.73	80.18	103.09	189.65	145.22	263.13	180.59	6.37	213.11	138.88	184.68	116.21	268.40	352.43	293.33	107.76	222.55	113.74	109.72	450.38	209.77	0.00	98.11	377.97	175.78
"GBI_15726"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15727"	20.59	0.00	31.11	28.95	11.15	19.91	45.52	17.55	14.91	24.84	8.63	31.29	14.83	21.19	47.09	6.25	21.20	14.09	28.97	12.24	20.20	20.41	18.10	9.96	31.87	8.90	10.74	27.87	12.63	0.00	15.06	21.62	17.49
"GBI_15728"	1.60	0.00	0.00	0.66	0.55	0.00	1.42	7.08	5.34	0.00	0.89	0.00	1.17	0.00	0.00	1.16	0.58	2.30	0.55	2.51	0.00	2.19	0.00	1.05	2.82	1.95	0.00	0.00	0.64	0.00	0.00	0.20	0.49
"GBI_15729"	561.00	437.21	159.83	87.28	160.08	755.42	225.78	111.05	683.18	288.02	238.16	99.18	128.79	470.22	241.30	27.72	568.66	506.60	79.72	179.33	477.16	232.66	756.79	823.58	185.31	281.39	437.87	224.92	340.94	0.00	283.44	166.14	316.97
"GBI_15730"	1.56	0.00	46.78	21.93	74.64	190.35	12.27	5.94	6.91	40.31	58.58	22.32	34.40	51.46	9.24	1.20	3.91	55.90	19.69	68.50	45.15	30.37	4.00	39.57	27.68	95.86	9.57	19.24	34.03	0.00	37.15	28.94	34.80
"GBI_15731"	96.88	0.00	31.81	29.11	12.94	32.42	94.57	27.80	48.56	58.76	14.16	21.46	19.34	40.99	101.50	5.03	539.71	24.42	19.20	15.23	72.86	37.67	434.75	15.73	20.02	14.07	40.28	56.99	37.40	0.00	52.14	19.68	108.29
"GBI_15732"	170.62	3569.99	1976.23	22.42	12.24	4.42	3.52	5.37	3.10	6949.98	5.16	17.69	9.40	17.58	1.36	24.61	313.67	2.51	14.90	11.73	10.10	2.48	232.58	1.16	15.00	4.52	21.46	0.56	17.57	0.00	8498.67	11.21	288.37
"GBI_15733"	2.90	0.00	245.72	2.69	11.15	0.00	1.93	1.38	0.00	321.88	0.61	4.14	2.38	0.00	0.00	4.72	0.49	0.00	2.99	0.68	0.00	0.00	1.48	0.00	5.81	1.32	0.00	0.00	6.06	0.00	270.84	2.94	12.61
"GBI_15734"	37.07	0.00	399.71	937.70	356.00	366.79	459.68	179.62	99.73	63.83	77.23	1082.04	572.87	453.48	577.01	4.67	94.09	133.02	1055.85	273.08	276.37	117.01	71.96	63.27	1196.81	337.93	338.37	83.53	629.89	0.00	68.27	126.57	334.27
"GBI_15735"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	1.51	0.00	0.00	0.00	0.00	0.00
"GBI_15736"	2.61	0.00	0.00	17.12	3.84	6.00	7.96	2.84	2.49	0.00	0.94	10.97	6.95	1.99	10.96	0.27	5.53	3.49	15.81	4.93	3.33	3.33	4.96	1.10	15.56	2.39	2.43	2.52	17.38	0.00	0.00	2.07	4.79
"GBI_15737"	79.31	0.00	126.81	109.79	103.49	608.69	275.38	149.98	135.30	171.00	104.68	106.17	88.77	591.85	231.42	17.02	86.57	206.94	104.19	106.75	629.26	146.49	90.24	53.62	120.39	78.46	257.86	85.61	111.31	0.00	129.74	626.95	122.52
"GBI_15738"	33.35	221.87	81.11	73.20	56.95	49.21	52.82	37.64	70.30	14.45	36.29	74.73	70.74	47.41	41.12	48.71	38.90	74.81	73.61	55.73	63.63	81.96	28.36	53.44	65.12	49.64	29.25	100.90	75.14	0.00	14.38	70.28	51.02
"GBI_15739"	5.52	0.00	9.61	29.73	8.37	0.91	0.87	0.32	0.28	20.66	1.86	31.52	20.15	2.02	0.50	0.04	7.82	3.19	31.37	5.57	0.73	1.69	12.59	0.00	35.31	4.26	0.35	0.10	10.02	0.00	21.75	1.88	10.77
"GBI_15740"	0.00	0.00	0.00	4.82	1.00	0.00	0.00	0.00	0.00	0.00	0.82	1.59	3.20	0.00	0.00	0.00	0.00	0.00	5.04	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	1.17	0.00	0.00	0.00	0.89
"GBI_15741"	3.02	0.00	0.00	6.21	1.03	0.00	0.00	0.00	0.00	0.00	0.00	10.67	3.30	0.00	0.00	0.00	0.68	0.00	8.31	2.84	0.00	0.90	0.00	0.00	5.64	0.92	0.00	0.00	1.20	0.00	0.00	0.00	5.53
"GBI_15742"	8.72	1190.28	0.00	32.42	11.60	0.00	0.00	1.95	0.00	3.18	3.87	33.52	20.79	0.00	0.00	0.37	5.53	1.92	36.58	8.22	0.00	2.29	6.82	0.00	30.86	5.62	0.00	0.00	4.90	0.00	3.34	1.14	13.17
"GBI_15743"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15744"	36.66	0.00	54.83	29.71	36.95	8.68	15.52	49.16	44.55	6.01	30.38	22.45	26.99	1.77	7.75	117.78	12.86	27.86	33.82	35.11	15.16	22.99	11.50	48.00	24.91	30.26	10.80	24.55	35.12	0.00	6.75	21.08	30.81
"GBI_15745"	7.87	0.00	113.27	29.70	30.40	57.45	73.06	54.33	23.20	263.69	92.94	222.47	201.50	479.18	193.94	1.94	10.09	19.14	21.55	17.28	102.58	106.23	31.81	189.05	274.60	316.09	400.69	5.19	42.10	0.00	30.51	32.32	98.91
"GBI_15746"	30.76	0.00	39.25	33.90	54.55	14.89	32.73	109.53	65.73	16.34	38.83	42.17	42.39	14.81	27.56	176.38	14.98	42.48	38.05	59.20	10.33	46.07	14.93	69.66	40.49	64.14	18.08	36.33	56.38	0.00	18.25	24.97	51.76
"GBI_15747"	53.58	695.86	135.74	31.26	30.67	156.86	584.04	135.01	280.01	228.22	123.65	21.24	17.78	257.08	574.85	21.45	151.36	160.50	27.72	23.02	280.54	275.88	190.36	164.59	34.98	23.06	177.09	385.32	17.37	0.00	139.07	207.09	124.40
"GBI_15748"	0.00	0.00	0.00	0.00	1.56	2.12	1.41	0.96	0.88	30.15	0.00	0.00	0.00	0.00	3.26	0.37	0.00	0.49	0.00	0.00	0.00	3.29	0.54	1.56	0.42	0.46	0.00	0.00	0.00	0.00	70.12	2.25	1.45
"GBI_15749"	0.41	0.00	0.00	1.52	0.00	0.00	0.00	0.00	2.05	0.00	1.03	0.67	0.00	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.37	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15750"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.21	1.68	0.00
"GBI_15751"	7.36	0.00	1248.73	0.00	0.00	0.00	39.33	0.00	6.17	858.62	0.00	0.00	0.00	0.00	11.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.09	12.45	0.00	0.00	1907.57	10.90	50.63
"GBI_15752"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.24	0.82	0.00	0.00	0.00	0.30	0.28	0.26	0.55	0.40	0.00	0.00	0.35	0.00	1.35	0.47	0.53	0.00	0.66	0.23	0.00	0.00	0.00	0.18
"GBI_15753"	0.49	0.00	0.00	0.61	2.01	0.00	1.31	2.79	4.09	0.00	7.80	0.80	1.61	0.00	0.76	1.42	0.00	12.37	2.02	3.69	0.00	4.37	0.25	14.49	1.96	0.89	0.00	4.13	0.00	0.00	0.00	2.89	0.90
"GBI_15754"	19.21	0.00	57.21	0.84	0.00	0.00	37.80	10.90	23.11	2.92	11.03	1.65	0.00	0.00	26.08	4.58	16.82	17.69	0.00	0.64	3.01	33.87	8.11	22.99	1.08	0.31	0.00	33.60	0.00	0.00	2.74	46.49	7.73
"GBI_15755"	0.76	0.00	0.00	0.00	0.78	0.00	0.00	0.00	0.00	0.00	1.90	0.62	0.00	4.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15756"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_15757"	0.00	0.00	0.00	0.50	1.24	0.00	0.00	0.00	1.34	0.00	3.37	1.64	2.21	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.40	0.65	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.74
"GBI_15758"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.36	0.93	0.00
"GBI_15759"	2.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.35	0.00	0.00	0.60	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	22.51	0.00	0.00	0.00	7.08	0.00	0.00	0.00	0.00	0.00	1.99
"GBI_15761"	0.00	0.00	0.00	5.35	3.55	0.00	0.00	0.00	0.00	0.00	0.00	7.41	3.31	0.00	0.00	0.00	0.00	0.00	6.69	2.04	0.00	0.00	0.00	0.00	5.20	0.79	0.00	0.00	0.00	0.00	0.00	0.00	1.19
"GBI_15762"	4.09	0.00	0.00	8.78	12.26	7.49	5.96	2.12	3.11	0.46	14.68	5.48	4.49	1.99	0.00	0.00	3.26	11.16	7.32	7.73	0.00	5.98	1.91	13.96	5.38	16.16	0.00	3.77	8.01	0.00	0.30	13.21	5.88
"GBI_15763"	0.12	0.00	41.28	37.79	56.90	9.29	0.65	3.24	0.61	0.15	18.59	9.45	11.21	11.03	1.13	4.85	0.49	21.09	14.85	24.36	11.95	6.30	0.12	21.62	2.74	18.37	5.54	3.08	3.78	0.00	0.20	3.15	12.71
"GBI_15764"	105.57	0.00	144.38	132.79	104.55	41.44	42.65	42.97	108.22	24.72	69.08	123.69	99.85	20.67	30.28	40.50	163.14	125.20	148.81	139.87	81.50	73.54	104.93	84.40	123.48	132.46	20.93	193.82	83.91	0.00	20.68	59.23	100.91
"GBI_15765"	255.30	393.56	517.93	735.22	966.00	351.99	87.82	447.47	346.36	84.87	619.95	816.31	1086.07	189.98	41.45	786.53	47.78	541.03	718.04	738.50	122.75	319.23	32.13	672.48	604.36	817.89	214.24	171.84	583.91	0.00	48.54	215.89	553.55
"GBI_15766"	283.35	148.97	21.78	49.29	42.06	56.28	121.30	70.80	74.87	224.12	67.81	62.35	49.74	72.57	115.98	140.50	418.98	100.93	64.69	52.02	75.69	62.82	391.03	82.14	45.57	51.01	69.37	88.02	64.10	0.00	264.57	63.01	128.54
"GBI_15767"	7.49	0.00	52.98	0.00	2.57	0.00	0.83	0.00	1.04	39.07	0.79	0.00	1.03	0.00	0.00	0.45	2.11	0.29	0.00	0.59	0.00	0.00	1.92	0.00	0.00	0.00	0.00	0.00	1.49	0.00	22.35	0.12	1.15
"GBI_15768"	0.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.29	0.00	0.00
