Unnamed: 0,TaxId,Species,FamilyId,FamilyName,OrderId,OrderName,TSA,BioProject_id,Publication(PMID/DOI),lotus_hits,osk_hits,oskar_hits
75,35525,Daphnia magna,77658,Daphniidae,84337,Diplostraca,GDIP,PRJNA284518,None,"GDIP01097932.1_1,GDIP01019410.1_2,GDIP01054541.1_3,GDIP01082676.1_1,GDIP01016723.1_2,GDIP01083095.1_1,GDIP01083096.1_1,GDIP01083591.1_3,GDIP01085248.1_3,GDIP01089840.1_2,GDIP01063837.1_2,GDIP01040046.1_3,GDIP01081735.1_2,GDIP01081734.1_2,GDIP01044197.1_2,GDIP01015316.1_2,GDIP01079331.1_2,GDIP01097886.1_1,GDIP01101841.1_2,GDIP01070138.1_3,GDIP01081733.1_2,GDIP01075053.1_1",None,None
76,35525,Daphnia magna,77658,Daphniidae,84337,Diplostraca,GDIQ,PRJNA284518,None,"GDIQ01092475.1_3,GDIQ01049406.1_2,GDIQ01036952.1_2,GDIQ01081878.1_3,GDIQ01019121.1_2,GDIQ01089973.1_3,GDIQ01061342.1_2,GDIQ01089974.1_3,GDIQ01089975.1_3,GDIQ01092477.1_1,GDIQ01039002.1_3,GDIQ01041904.1_3,GDIQ01092476.1_1,GDIQ01088125.1_1,GDIQ01053947.1_3,GDIQ01041903.1_1,GDIQ01031162.1_3,GDIQ01066299.1_1,GDIQ01041902.1_1,GDIQ01061701.1_3,GDIQ01064898.1_3,GDIQ01034718.1_1,GDIQ01081941.1_2,GDIQ01021132.1_1,GDIQ01047856.1_2,GDIQ01046211.1_2,GDIQ01038555.1_1,GDIQ01096574.1_2,GDIQ01096572.1_2,GDIQ01096573.1_2,GDIQ01088673.1_3,GDIQ01063344.1_3,GDIQ01098185.1_2,GDIQ01063343.1_3,GDIQ01052363.1_1,GDIQ01064850.1_3,GDIQ01083526.1_2,GDIQ01094781.1_1,GDIQ01064849.1_3,GDIQ01083525.1_2,GDIQ01066199.1_3,GDIQ01038556.1_1,GDIQ01041511.1_2,GDIQ01082185.1_1,GDIQ01090129.1_1,GDIQ01092576.1_2,GDIQ01045956.1_3,GDIQ01088625.1_3,GDIQ01045955.1_3,GDIQ01031467.1_2,GDIQ01043908.1_3,GDIQ01038557.1_1,GDIQ01047816.1_3,GDIQ01043907.1_3,GDIQ01086834.1_2,GDIQ01038558.1_1,GDIQ01073744.1_1,GDIQ01080631.1_1,GDIQ01059591.1_1,GDIQ01076486.1_2,GDIQ01043909.1_3,GDIQ01064851.1_3,GDIQ01011799.1_1,GDIQ01098184.1_2,GDIQ01090130.1_1,GDIQ01092577.1_2,GDIQ01050857.1_1,GDIQ01061650.1_2,GDIQ01061651.1_2,GDIQ01076487.1_2,GDIQ01059592.1_1,GDIQ01073745.1_1,GDIQ01039001.1_3,GDIQ01039000.1_3,GDIQ01056991.1_1,GDIQ01056992.1_1",None,None
77,92525,Asellus aquaticus,63227,Asellidae,29979,Isopoda,GDKY,PRJNA270761,25407802,None,"GDKY01010854.1_1,GDKY01004969.1_2,GDKY01003048.1_3,GDKY01001888.1_5,GDKY01002146.1_6",None
78,85551,Scylla olivacea,6757,Portunidae,6683,Decapoda,GDRN,PRJNA289610,None,"GDRN01099291.1_2,GDRN01079895.1_1,GDRN01079896.1_1,GDRN01079894.1_1,GDRN01109296.1_2,GDRN01109293.1_3","GDRN01101772.1_4,GDRN01077352.1_4,GDRN01080890.1_4,GDRN01107068.1_1,GDRN01098558.1_4",None
79,6689,Litopenaeus vannamei,6685,Penaeidae,6683,Decapoda,GDTK,PRJNA294021,None,"GDTK01014645.1_3,GDTK01001814.1_4,GDTK01001815.1_3,GDTK01002165.1_1,GDTK01002164.1_1",None,None
80,191375,Talitrus saltator,92169,Talitridae,6821,Amphipoda,GDUJ,PRJNA297565,None,GDUJ01031009.1_4,None,None
81,6689,Litopenaeus vannamei,6685,Penaeidae,6683,Decapoda,GDUV,PRJNA293148,None,"GDUV01014611.1_4,GDUV01004053.1_3,GDUV01004052.1_2,GDUV01004051.1_2,GDUV01004050.1_2,GDUV01004337.1_1",GDUV01026282.1_2,None
82,88015,Eurytemora affinis,88013,Temoridae,6833,Calanoida,GEAN,PRJNA278152,None,"GEAN01010200.1_1,GEAN01010205.1_3,GEAN01010204.1_2,GEAN01010207.1_1,GEAN01010201.1_3,GEAN01010202.1_1,GEAN01010198.1_3,GEAN01010199.1_3,GEAN01010208.1_2,GEAN01038971.1_1,GEAN01038972.1_3,GEAN01022518.1_4,GEAN01038975.1_3,GEAN01074234.1_3",None,None
83,6706,Homarus americanus,6704,Nephropidae,6683,Decapoda,GEBG,PRJNA300643,26716450,"GEBG01022354.1_3,GEBG01044812.1_1",None,None
84,6715,Astacus astacus,6713,Astacidae,6683,Decapoda,GEDF,PRJNA302843,None,"GEDF01027217.1_5,GEDF01030555.1_1,GEDF01027215.1_6",None,None
