TSA,tsa_id,tax_id,species,family_id,family_name,order_id,order_name,bioproject,biosample,keywords,raw_tissue,raw_sex,raw_stage,clean_tissue,clean_sex,clean_stage,brain,germline,egg,larvae,pupae,juvenil,adult
GCFN,GCFN00000000.1,116148,Mesembrina meridiana,7366.0,Muscidae,7147,Diptera,PRJNA267965,SAMN03223127,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GCFF,GCFF00000000.1,27454,Calliphora vomitoria,7371.0,Calliphoridae,7147,Diptera,PRJNA267921,SAMN03223083,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GCGM,GCGM00000000.1,1321409,Penicillidia dufourii,81707.0,Nycteribiidae,7147,Diptera,PRJNA267980,SAMN03223142,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GCFC,GCFC00000000.1,1572552,Eustalomyia vittipes,30062.0,Anthomyiidae,7147,Diptera,PRJNA267942,SAMN03223104,"['whole organism', 'adult', 'female']",whole organism,female,adult,whole organism,female,adult,0,0,0,0,0,0,1
GCMA,GCMA00000000.1,1572554,Euthera bicolor,27474.0,Tachinidae,7147,Diptera,PRJNA267943,SAMN03223105,"['whole organism', 'adult', 'male']",whole organism,male,adult,whole organism,male,adult,0,0,0,0,0,0,1
GCLX,GCLX00000000.1,1572517,Cuterebra austeni,7387.0,Oestridae,7147,Diptera,PRJNA267933,SAMN03223095,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDYJ,GDYJ00000000.1,1661816,Balta vilis,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286346,SAMN04005131,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDXP,GDXP00000000.1,36981,Shelfordella lateralis,6974.0,Blattidae,85823,Blattodea,PRJNA286452,SAMN04005238,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDYD,GDYD00000000.1,1661484,Tivia sp. AD-2015,30007.0,Corydiidae,85823,Blattodea,PRJNA286468,SAMN04005254,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDYE,GDYE00000000.1,1661525,Ellipsidion sp. AD-2015,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286365,SAMN04005150,"['whole organism', 'nymph', 'not determined']",whole organism,not determined,nymph,whole organism,undetermined sex,nymph,0,0,0,0,0,1,0
GDZF,GDZF00000000.1,1661876,Eucorydia yasumatsui,30007.0,Corydiidae,85823,Blattodea,PRJNA286371,SAMN04005156,"['whole organism', 'nymph', 'not determined']",whole organism,not determined,nymph,whole organism,undetermined sex,nymph,0,0,0,0,0,1,0
GDYK,GDYK00000000.1,242713,Loboptera decipiens,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286399,SAMN04005184,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDVA,GDVA00000000.1,127387,Reticulitermes santonensis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA286449,SAMN04005235,"['whole organism', 'not determined']",whole organism,not determined,None,whole organism,undetermined sex,None,0,0,0,0,0,0,0
GDYC,GDYC00000000.1,1661824,Episymploce sundaica,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286368,SAMN04005153,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDZI,GDZI00000000.1,103000,Paratemnopteryx couloniana,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286432,SAMN04005217,"['whole organism', 'adult', 'male']",whole organism,male,adult,whole organism,male,adult,0,0,0,0,0,0,1
GDWW,GDWW00000000.1,1661869,Asiablatta kyotensis,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286658,SAMN04005126,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GEAA,GEAA00000000.1,1661865,Anallacta methanoides,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286338,SAMN04005121,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDZY,GDZY00000000.1,1661828,Euthlastoblatta diaphana,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286375,SAMN04005160,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDWU,GDWU00000000.1,83902,Supella longipalpa,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286461,SAMN04005247,"['whole organism', 'adult', 'pooled male and female']",whole organism,pooled male and female,adult,whole organism,pooled sex,adult,0,0,0,0,0,0,1
GDVQ,GDVQ00000000.1,1661856,Therea bernhardti,30007.0,Corydiidae,85823,Blattodea,PRJNA286466,SAMN04005252,"['whole organism', 'larva', 'not determined']",whole organism,not determined,larva,whole organism,undetermined sex,larvae,0,0,0,1,0,0,0
GDYS,GDYS00000000.1,303877,Eurycotis floridana,6974.0,Blattidae,85823,Blattodea,PRJNA286373,SAMN04005158,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDYB,GDYB00000000.1,1661476,Nocticola sp. AD-2015,85826.0,Nocticolidae,85823,Blattodea,PRJNA286415,SAMN04005200,"['whole organism', 'not determined']",whole organism,not determined,None,whole organism,undetermined sex,None,0,0,0,0,0,0,0
GDZH,GDZH00000000.1,303918,Deropeltis erythrocephala,6974.0,Blattidae,85823,Blattodea,PRJNA286357,SAMN04005142,"['whole organism', 'adult', 'male']",whole organism,male,adult,whole organism,male,adult,0,0,0,0,0,0,1
GDWV,GDWV00000000.1,1554535,Tryonicus parvus,1560744.0,Tryonicidae,85823,Blattodea,PRJNA286471,SAMN04005257,"['whole organism', 'adult', 'female']",whole organism,female,adult,whole organism,female,adult,0,0,0,0,0,0,1
GDWT,GDWT00000000.1,1661834,Methana parva,6974.0,Blattidae,85823,Blattodea,PRJNA286405,SAMN04005190,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDWQ,GDWQ00000000.1,36955,Panchlora nivea,6979.0,Blaberidae,85823,Blattodea,PRJNA286426,SAMN04005211,"['whole organism', 'adult', 'pooled male and female']",whole organism,pooled male and female,adult,whole organism,pooled sex,adult,0,0,0,0,0,0,1
GDZZ,GDZZ00000000.1,63739,Lobopterella dimidiatipes,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286400,SAMN04005185,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDWJ,GDWJ00000000.1,7085,Polyphaga aegyptiaca,30007.0,Corydiidae,85823,Blattodea,PRJNA286439,SAMN04005225,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDEC,GDEC00000000.1,1585295,Ischnoptera deropeltiformis,1049651.0,Ectobiidae,85823,Blattodea,PRJNA272190,SAMN03331977,"['whole organism', 'missing', 'missing']",whole organism,missing,missing,whole organism,undetermined sex,undetermined stage,0,0,0,0,0,0,0
GDYG,GDYG00000000.1,6984,Diploptera punctata,6979.0,Blaberidae,85823,Blattodea,PRJNA286363,SAMN04005148,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDZJ,GDZJ00000000.1,406578,Gyna lurida,6979.0,Blaberidae,85823,Blattodea,PRJNA286383,SAMN04005168,"['whole organism', 'male']",whole organism,male,male,whole organism,male,None,0,0,0,0,0,0,0
GDUO,GDUO00000000.1,1661473,Mantoida sp. AD-2015,267101.0,Mantoididae,7504,Mantodea,PRJNA286401,SAMN04005186,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDYP,GDYP00000000.1,1080973,Ectobius sylvestris,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286364,SAMN04005149,"['whole organism', 'female']",whole organism,female,None,whole organism,female,None,0,0,0,0,0,0,0
GDUG,GDUG00000000.1,1661464,Coptotermes sp. AD-2015,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA286352,SAMN04005137,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDCR,GDCR00000000.1,6973,Blattella germanica,1049651.0,Ectobiidae,85823,Blattodea,PRJNA273023,SAMN03339326,"['whole organism', 'adult', 'female']",whole organism,female,adult,whole organism,female,adult,0,0,0,0,0,0,1
GDCG,GDCG00000000.1,1603009,Symploce sp. AD-2014,1049651.0,Ectobiidae,85823,Blattodea,PRJNA273059,SAMN03339362,"['whole organism', 'adult', 'missing']",whole organism,missing,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
