genome,taxId,species,familyId,familyName,orderId,orderName,bioproject,biosample
GCA_001014665.1,1582032,Trupanea jonesi,7211,Tephritidae,7147,Diptera,PRJNA268391,SAMN03283206
GCA_001014675.1,1577615,Ephydra gracilis,48991,Ephydridae,7147,Diptera,PRJNA268391,SAMN03283202
GCA_001014575.1,292402,Themira minor,137503,Sepsidae,7147,Diptera,PRJNA268391,SAMN03283205
GCA_001014515.1,7394,Glossina morsitans,7392,Glossinidae,7147,Diptera,PRJNA268391,SAMN03283231
GCA_001014495.1,7237,Drosophila pseudoobscura,7214,Drosophilidae,7147,Diptera,PRJNA268391,SAMN03287996
GCA_001014505.1,315576,Chironomus riparius,7149,Chironomidae,7147,Diptera,PRJNA268391,SAMN03284762
GCA_001014445.1,7225,Scaptodrosophila lebanonensis,7214,Drosophilidae,7147,Diptera,PRJNA268391,SAMN03282438
GCA_001014435.1,39758,Mayetiola destructor,33406,Cecidomyiidae,7147,Diptera,PRJNA268391,SAMN03280977
GCA_001014425.1,1577620,Trichoceridae sp. BV-2014,52747,Trichoceridae,7147,Diptera,PRJNA268391,SAMN03282441
GCA_001014415.1,462259,Phortica variegata,7214,Drosophilidae,7147,Diptera,PRJNA268391,SAMN03282482
GCA_001014335.1,170625,Coboldia fuscipes,52749,Scatopsidae,7147,Diptera,PRJNA268391,SAMN03276535
GCA_001012855.1,57062,Hypothenemus hampei,7042,Curculionidae,7041,Coleoptera,PRJNA279497,SAMN03448479
